parcel_number,address,description,url
12-10-23-4183-0980-0020,None,"INTERLACHEN GARDENS SECTION 3, MB4 P145 LOTS 98/2 + 98/4",https://apps.putnam-fl.com/pa/property/?type=api&parcel=12-10-23-4183-0980-0020
11-10-24-4075-2390-0270,None,"INTERLACHEN LAKES ESTATES, FREDERICK TOWN UNIT 16 MB5 P4, BLK 239 LOT 27",https://apps.putnam-fl.com/pa/property/?type=api&parcel=11-10-24-4075-2390-0270
01-13-27-2000-0060-0001,None,MASON (DENVER) MB2 P23B BLK F N 200 FT OF LOT 1,https://apps.putnam-fl.com/pa/property/?type=api&parcel=01-13-27-2000-0060-0001
02-12-27-1829-0110-0090,217 SOUTHERN AV CRESCENT CITY 32112,"CRESCENT SHORES HEIGHTS, MB5 P30 BLK 11 LOT 9",https://apps.putnam-fl.com/pa/property/?type=api&parcel=02-12-27-1829-0110-0090
03-10-24-2570-0010-0350,None,"FLAMINGO LAKE ESTATES MB4 P43, BLK 1 LOT 35",https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-2570-0010-0350
03-12-26-0000-0140-0120,None,"PT OF S1/2 OF GOVT LOT 3 OR319, P5 (LOT 12)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-12-26-0000-0140-0120
03-10-24-9070-0260-0240,None,"TWIN LAKE ESTATES REVISED PLAT, MB4 P55 BLK 26 LOTS 24 & 25",https://apps.putnam-fl.com/pa/property/?type=api&parcel=03-10-24-9070-0260-0240
04-10-24-5531-0030-0170,None,"MARINERS LAKE ESTATES MB4 P77, BLK 3 LOTS 17 18 19 38 39 40",https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-5531-0030-0170
04-10-24-9025-0040-0040,None,"TROUT LAKE ESTATES MB4 P71, BLK 4 LOTS 4 5 6 40 41 42",https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9025-0040-0040
04-10-24-9040-0050-0030,None,"TROUT LAKE SHORES MB4 P69, BLK 5 LOTS 3 + 4",https://apps.putnam-fl.com/pa/property/?type=api&parcel=04-10-24-9040-0050-0030
05-10-24-4940-0080-0120,None,"LAKE LUCY VILLAGE MB4 P75, BLK 8 LOT 12",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4940-0080-0120
05-10-24-4940-0090-0010,None,"LAKE LUCY VILLAGE MB4 P75, BLK 9 LOT 1",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4940-0090-0010
05-10-24-4940-0090-0020,None,"LAKE LUCY VILLAGE MB4 P75, BLK 9 LOT 2",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-4940-0090-0020
05-10-24-9045-0040-0550,139 PAXON ST INTERLACHEN 32148,"TROUT LAKE VILLAGE MB4 P78, BLK 4 LOT 55",https://apps.putnam-fl.com/pa/property/?type=api&parcel=05-10-24-9045-0040-0550
06-12-27-3412-0060-0180,116 LAKE VIEW DR POMONA PARK 32181,"HAMILTON HILLS MB5 P13, BLK F LOT 18",https://apps.putnam-fl.com/pa/property/?type=api&parcel=06-12-27-3412-0060-0180
06-13-27-4910-0060-1580,118 MANORLY CIR GEORGETOWN 32139,"LAKE GEORGE MANOR MB5 P24, LOT 158, AREA F OR 304 P 1577",https://apps.putnam-fl.com/pa/property/?type=api&parcel=06-13-27-4910-0060-1580
07-13-27-7062-0680-0400,134 HAZEL AV GEORGETOWN 32139,"PARADISE LAKES S/D UNIT 3, MB5 P47 BLK 68 LOT 40",https://apps.putnam-fl.com/pa/property/?type=api&parcel=07-13-27-7062-0680-0400
08-10-24-4214-0260-0010,None,"INTERLACHEN VILLAS ADDITION 3, MB4 P144 BLK 26 LOT 1",https://apps.putnam-fl.com/pa/property/?type=api&parcel=08-10-24-4214-0260-0010
08-10-24-6782-0080-0540,None,"ORANGE BLOSSOM MANOR MB4 P92, BLK 8 LOT 54",https://apps.putnam-fl.com/pa/property/?type=api&parcel=08-10-24-6782-0080-0540
08-10-24-6782-0080-0530,None,"ORANGE BLOSSOM MANOR MB4 P92, BLK 8 LOT 53",https://apps.putnam-fl.com/pa/property/?type=api&parcel=08-10-24-6782-0080-0530
08-10-27-0000-0150-0000,125 STATE RD 207 EAST PALATKA 32131,"PT OF LOT 2 BK166 P509, (EX BK195 P315 RD OR778 P544, SR 207)",https://apps.putnam-fl.com/pa/property/?type=api&parcel=08-10-27-0000-0150-0000
11-10-23-1600-0010-0460,None,"COOPER LAKE ESTATES MB4 P87, BLK 1 LOTS 46 47",https://apps.putnam-fl.com/pa/property/?type=api&parcel=11-10-23-1600-0010-0460
